complaint_text,complainant,accused
"According to Mr. Rahul Tiwari, Ranchi SP obstructed journalistic activities.",Mr. Rahul Tiwari,Ranchi SP
Suo-Motu cognizance with regard to Traffic Police Officer allegedly harassing Media Council of India during coverage of an event.,Media Council of India,Traffic Police Officer
"According to Shri Aman Verma, Tehsildar obstructed journalistic activities.",Shri Aman Verma,Tehsildar
A complaint has been registered by National Human Rights Commission against Zonal Commissioner for misconduct.,National Human Rights Commission,Zonal Commissioner
Advocate Rakesh Kumar has accused Police Constable of unlawful conduct.,Advocate Rakesh Kumar,Police Constable
Complaint filed by Press Club of India against State Education Minister for abuse of power.,Press Club of India,State Education Minister
Complaint filed by Mr. Rahul Tiwari against Zonal Commissioner for abuse of power.,Mr. Rahul Tiwari,Zonal Commissioner
Suo-Motu cognizance in the case of Political Party Worker allegedly threatening Smt. Rekha Singh.,Smt. Rekha Singh,Political Party Worker
Complaint submitted by Journalists Association of Delhi alleging harassment by Tehsildar.,Journalists Association of Delhi,Tehsildar
Suo-Motu cognizance with regard to Government Official allegedly attacking Ms. Neha Dubey.,Ms. Neha Dubey,Government Official
Complaint filed by Ms. Neha Dubey against Block Development Officer for abuse of power.,Ms. Neha Dubey,Block Development Officer
Journalists Association of Delhi raised concerns regarding behaviour of Inspector General.,Journalists Association of Delhi,Inspector General
"According to Ms. Neha Dubey, Rajkot Collector obstructed journalistic activities.",Ms. Neha Dubey,Rajkot Collector
Journalists Association of Delhi has accused Inspector General of unlawful conduct.,Journalists Association of Delhi,Inspector General
Suo-Motu cognizance of unlawful detention of Smt. Sunita Gupta by Police Constable.,Smt. Sunita Gupta,Police Constable
Ms. Priya Sharma filed a report against Government Official citing threats and intimidation.,Ms. Priya Sharma,Government Official
Press Club of India has accused State Education Minister of unlawful conduct.,Press Club of India,State Education Minister
Suo-Motu cognizance in the case of District Magistrate allegedly threatening Press Club of India.,Press Club of India,District Magistrate
National Human Rights Commission raised concerns regarding behaviour of Tehsildar.,National Human Rights Commission,Tehsildar
Suo-Motu cognizance with regard to District Magistrate allegedly harassing Ms. Priya Sharma during coverage of an event.,Ms. Priya Sharma,District Magistrate
Shri Rajesh Jain raised concerns regarding behaviour of Government Official.,Shri Rajesh Jain,Government Official
Press Club of India raised concerns regarding behaviour of Local MLA.,Press Club of India,Local MLA
Complaint filed by Shri Rajesh Jain against Rajkot Collector for abuse of power.,Shri Rajesh Jain,Rajkot Collector
A complaint has been registered by Mr. Arvind Yadav against Local MLA for misconduct.,Mr. Arvind Yadav,Local MLA
A complaint has been registered by Ms. Neha Dubey against Tehsildar for misconduct.,Ms. Neha Dubey,Tehsildar
"According to Smt. Sunita Gupta, Media House Owner obstructed journalistic activities.",Smt. Sunita Gupta,Media House Owner
"According to Shri Aman Verma, Tehsildar obstructed journalistic activities.",Shri Aman Verma,Tehsildar
Suo-Motu cognizance with regard to State Education Minister allegedly harassing Shri Rajesh Jain during coverage of an event.,Shri Rajesh Jain,State Education Minister
Formal complaint by Smt. Rekha Singh accusing Rajkot Collector of corruption.,Smt. Rekha Singh,Rajkot Collector
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking National Human Rights Commission.,National Human Rights Commission,Block Development Officer
Complaint filed by Ms. Neha Dubey against Media House Owner for abuse of power.,Ms. Neha Dubey,Media House Owner
Suo-Motu cognizance of unlawful detention of National Human Rights Commission by Block Development Officer.,National Human Rights Commission,Block Development Officer
Complaint filed by Journalists Association of Delhi against Block Development Officer for abuse of power.,Journalists Association of Delhi,Block Development Officer
Suo-Motu cognizance regarding misconduct by Traffic Police Officer involving Shri Rajesh Jain.,Shri Rajesh Jain,Traffic Police Officer
Ms. Priya Sharma filed a report against District Magistrate citing threats and intimidation.,Ms. Priya Sharma,District Magistrate
Editor of The Daily News filed a report against Local MLA citing threats and intimidation.,Editor of The Daily News,Local MLA
Advocate Rakesh Kumar lodged a complaint against Inspector General with the authorities.,Advocate Rakesh Kumar,Inspector General
Suo-Motu cognizance with regard to Zonal Commissioner allegedly attacking Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Zonal Commissioner
Suo-Motu cognizance with regard to Government Official allegedly bribing Journalists Association of Delhi for media coverage.,Journalists Association of Delhi,Government Official
Complaint submitted by Mr. Arvind Yadav alleging harassment by Government Official.,Mr. Arvind Yadav,Government Official
"According to Ms. Priya Sharma, Inspector General obstructed journalistic activities.",Ms. Priya Sharma,Inspector General
Complaint filed by Press Club of India against Media House Owner for abuse of power.,Press Club of India,Media House Owner
Suo-Motu cognizance with regard to State Education Minister allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,State Education Minister
Ms. Neha Dubey lodged a complaint against Traffic Police Officer with the authorities.,Ms. Neha Dubey,Traffic Police Officer
National Human Rights Commission filed a report against Traffic Police Officer citing threats and intimidation.,National Human Rights Commission,Traffic Police Officer
A complaint has been registered by Mr. Arvind Yadav against Media House Owner for misconduct.,Mr. Arvind Yadav,Media House Owner
Mr. Arvind Yadav has accused District Magistrate of unlawful conduct.,Mr. Arvind Yadav,District Magistrate
Journalists Association of Delhi lodged a complaint against Media House Owner with the authorities.,Journalists Association of Delhi,Media House Owner
Complaint filed by Ms. Neha Dubey against Block Development Officer for abuse of power.,Ms. Neha Dubey,Block Development Officer
Suo-Motu cognizance with regard to Political Party Worker allegedly attacking Shri Rajesh Jain.,Shri Rajesh Jain,Political Party Worker
A complaint has been registered by Mr. Arvind Yadav against Inspector General for misconduct.,Mr. Arvind Yadav,Inspector General
Suo-Motu cognizance in the case of Media House Owner allegedly threatening Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Media House Owner
Smt. Sunita Gupta lodged a complaint against Political Party Worker with the authorities.,Smt. Sunita Gupta,Political Party Worker
Shri Aman Verma has accused Media House Owner of unlawful conduct.,Shri Aman Verma,Media House Owner
Smt. Sunita Gupta filed a report against Zonal Commissioner citing threats and intimidation.,Smt. Sunita Gupta,Zonal Commissioner
Journalists Association of Delhi raised concerns regarding behaviour of Political Party Worker.,Journalists Association of Delhi,Political Party Worker
"According to Editor of The Daily News, Traffic Police Officer obstructed journalistic activities.",Editor of The Daily News,Traffic Police Officer
A complaint has been registered by Smt. Sunita Gupta against Rajkot Collector for misconduct.,Smt. Sunita Gupta,Rajkot Collector
Suo-Motu cognizance in the case of Police Constable allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Police Constable
Complaint filed by National Human Rights Commission against District Magistrate for abuse of power.,National Human Rights Commission,District Magistrate
Smt. Sunita Gupta has accused Delhi Police of unlawful conduct.,Smt. Sunita Gupta,Delhi Police
Complaint submitted by Smt. Rekha Singh alleging harassment by Inspector General.,Smt. Rekha Singh,Inspector General
Smt. Rekha Singh filed a report against Traffic Police Officer citing threats and intimidation.,Smt. Rekha Singh,Traffic Police Officer
"According to Ms. Priya Sharma, Delhi Police obstructed journalistic activities.",Ms. Priya Sharma,Delhi Police
Suo-Motu cognizance of unlawful detention of Advocate Rakesh Kumar by Government Official.,Advocate Rakesh Kumar,Government Official
Formal complaint by Mr. Rahul Tiwari accusing Traffic Police Officer of corruption.,Mr. Rahul Tiwari,Traffic Police Officer
Mr. Rahul Tiwari lodged a complaint against Block Development Officer with the authorities.,Mr. Rahul Tiwari,Block Development Officer
Complaint submitted by Shri Aman Verma alleging harassment by Government Official.,Shri Aman Verma,Government Official
Advocate Rakesh Kumar raised concerns regarding behaviour of Media House Owner.,Advocate Rakesh Kumar,Media House Owner
Suo-Motu cognizance with regard to an incident involving Block Development Officer and Smt. Rekha Singh.,Smt. Rekha Singh,Block Development Officer
Formal complaint by Smt. Sunita Gupta accusing Rajkot Collector of corruption.,Smt. Sunita Gupta,Rajkot Collector
"According to Smt. Rekha Singh, Ranchi SP obstructed journalistic activities.",Smt. Rekha Singh,Ranchi SP
Smt. Rekha Singh filed a report against Inspector General citing threats and intimidation.,Smt. Rekha Singh,Inspector General
Suo-Motu cognizance regarding misconduct by State Education Minister involving Mr. Arvind Yadav.,Mr. Arvind Yadav,State Education Minister
Complaint submitted by Smt. Rekha Singh alleging harassment by Government Official.,Smt. Rekha Singh,Government Official
Shri Rajesh Jain has accused Political Party Worker of unlawful conduct.,Shri Rajesh Jain,Political Party Worker
Complaint filed by Shri Rajesh Jain against Media House Owner for abuse of power.,Shri Rajesh Jain,Media House Owner
"According to Press Club of India, Local MLA obstructed journalistic activities.",Press Club of India,Local MLA
Complaint filed by Smt. Sunita Gupta against Government Official for abuse of power.,Smt. Sunita Gupta,Government Official
Complaint filed by Smt. Rekha Singh against Block Development Officer for abuse of power.,Smt. Rekha Singh,Block Development Officer
Formal complaint by Ms. Neha Dubey accusing State Education Minister of corruption.,Ms. Neha Dubey,State Education Minister
Suo-Motu cognizance in the case of Local MLA allegedly threatening Press Club of India.,Press Club of India,Local MLA
Formal complaint by Editor of The Daily News accusing Ranchi SP of corruption.,Editor of The Daily News,Ranchi SP
Suo-Motu cognizance with regard to Media House Owner allegedly attacking Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Media House Owner
Suo-Motu cognizance regarding misconduct by Ranchi SP involving National Human Rights Commission.,National Human Rights Commission,Ranchi SP
"According to Ms. Neha Dubey, Political Party Worker obstructed journalistic activities.",Ms. Neha Dubey,Political Party Worker
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Block Development Officer.,Advocate Rakesh Kumar,Block Development Officer
Mr. Arvind Yadav has accused Local MLA of unlawful conduct.,Mr. Arvind Yadav,Local MLA
Press Club of India has accused Zonal Commissioner of unlawful conduct.,Press Club of India,Zonal Commissioner
A complaint has been registered by Shri Aman Verma against Police Constable for misconduct.,Shri Aman Verma,Police Constable
Mr. Arvind Yadav raised concerns regarding behaviour of Inspector General.,Mr. Arvind Yadav,Inspector General
Press Club of India lodged a complaint against Zonal Commissioner with the authorities.,Press Club of India,Zonal Commissioner
Editor of The Daily News raised concerns regarding behaviour of Inspector General.,Editor of The Daily News,Inspector General
Formal complaint by Ms. Neha Dubey accusing Government Official of corruption.,Ms. Neha Dubey,Government Official
Formal complaint by Shri Rajesh Jain accusing Traffic Police Officer of corruption.,Shri Rajesh Jain,Traffic Police Officer
Suo-Motu cognizance in the case of Inspector General allegedly threatening Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Inspector General
National Human Rights Commission lodged a complaint against Delhi Police with the authorities.,National Human Rights Commission,Delhi Police
"According to Media Council of India, Rajkot Collector obstructed journalistic activities.",Media Council of India,Rajkot Collector
Complaint filed by Shri Aman Verma against Delhi Police for abuse of power.,Shri Aman Verma,Delhi Police
"According to Editor of The Daily News, Delhi Police obstructed journalistic activities.",Editor of The Daily News,Delhi Police
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking Ms. Neha Dubey.,Ms. Neha Dubey,Block Development Officer
Complaint filed by Media Council of India against Police Constable for abuse of power.,Media Council of India,Police Constable
Smt. Sunita Gupta has accused State Education Minister of unlawful conduct.,Smt. Sunita Gupta,State Education Minister
Ms. Priya Sharma filed a report against Local MLA citing threats and intimidation.,Ms. Priya Sharma,Local MLA
Suo-Motu cognizance with regard to State Education Minister allegedly attacking Mr. Arvind Yadav.,Mr. Arvind Yadav,State Education Minister
Ms. Priya Sharma has accused Zonal Commissioner of unlawful conduct.,Ms. Priya Sharma,Zonal Commissioner
A complaint has been registered by Ms. Priya Sharma against Delhi Police for misconduct.,Ms. Priya Sharma,Delhi Police
"According to Advocate Rakesh Kumar, Local MLA obstructed journalistic activities.",Advocate Rakesh Kumar,Local MLA
Suo-Motu cognizance with regard to State Education Minister allegedly bribing Advocate Rakesh Kumar for media coverage.,Advocate Rakesh Kumar,State Education Minister
Suo-Motu cognizance with regard to Media House Owner allegedly attacking National Human Rights Commission.,National Human Rights Commission,Media House Owner
"According to Mr. Arvind Yadav, Block Development Officer obstructed journalistic activities.",Mr. Arvind Yadav,Block Development Officer
Smt. Sunita Gupta lodged a complaint against Traffic Police Officer with the authorities.,Smt. Sunita Gupta,Traffic Police Officer
Ms. Neha Dubey raised concerns regarding behaviour of Block Development Officer.,Ms. Neha Dubey,Block Development Officer
"According to Press Club of India, Traffic Police Officer obstructed journalistic activities.",Press Club of India,Traffic Police Officer
Suo-Motu cognizance of unlawful detention of Shri Aman Verma by Traffic Police Officer.,Shri Aman Verma,Traffic Police Officer
Press Club of India has accused Inspector General of unlawful conduct.,Press Club of India,Inspector General
Complaint filed by Mr. Rahul Tiwari against Political Party Worker for abuse of power.,Mr. Rahul Tiwari,Political Party Worker
Complaint submitted by Smt. Rekha Singh alleging harassment by Police Constable.,Smt. Rekha Singh,Police Constable
Complaint filed by Journalists Association of Delhi against Government Official for abuse of power.,Journalists Association of Delhi,Government Official
Journalists Association of Delhi raised concerns regarding behaviour of Police Constable.,Journalists Association of Delhi,Police Constable
Complaint filed by Editor of The Daily News against State Education Minister for abuse of power.,Editor of The Daily News,State Education Minister
A complaint has been registered by Smt. Rekha Singh against Block Development Officer for misconduct.,Smt. Rekha Singh,Block Development Officer
Complaint submitted by Press Club of India alleging harassment by District Magistrate.,Press Club of India,District Magistrate
Shri Rajesh Jain raised concerns regarding behaviour of Political Party Worker.,Shri Rajesh Jain,Political Party Worker
Mr. Arvind Yadav raised concerns regarding behaviour of District Magistrate.,Mr. Arvind Yadav,District Magistrate
Suo-Motu cognizance with regard to an incident involving Ranchi SP and Mr. Arvind Yadav.,Mr. Arvind Yadav,Ranchi SP
Formal complaint by Ms. Neha Dubey accusing Police Constable of corruption.,Ms. Neha Dubey,Police Constable
Suo-Motu cognizance with regard to Ranchi SP allegedly harassing Ms. Neha Dubey during coverage of an event.,Ms. Neha Dubey,Ranchi SP
Mr. Arvind Yadav raised concerns regarding behaviour of Government Official.,Mr. Arvind Yadav,Government Official
Mr. Rahul Tiwari filed a report against Zonal Commissioner citing threats and intimidation.,Mr. Rahul Tiwari,Zonal Commissioner
Complaint filed by Mr. Rahul Tiwari against District Magistrate for abuse of power.,Mr. Rahul Tiwari,District Magistrate
Complaint filed by Mr. Arvind Yadav against Police Constable for abuse of power.,Mr. Arvind Yadav,Police Constable
Suo-Motu cognizance with regard to an incident involving Tehsildar and Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Tehsildar
"According to Journalists Association of Delhi, Inspector General obstructed journalistic activities.",Journalists Association of Delhi,Inspector General
Complaint submitted by Smt. Sunita Gupta alleging harassment by State Education Minister.,Smt. Sunita Gupta,State Education Minister
Formal complaint by Shri Aman Verma accusing Zonal Commissioner of corruption.,Shri Aman Verma,Zonal Commissioner
Shri Aman Verma filed a report against Local MLA citing threats and intimidation.,Shri Aman Verma,Local MLA
Formal complaint by Smt. Rekha Singh accusing Tehsildar of corruption.,Smt. Rekha Singh,Tehsildar
Shri Rajesh Jain filed a report against State Education Minister citing threats and intimidation.,Shri Rajesh Jain,State Education Minister
"According to Media Council of India, State Education Minister obstructed journalistic activities.",Media Council of India,State Education Minister
Complaint submitted by Ms. Neha Dubey alleging harassment by Political Party Worker.,Ms. Neha Dubey,Political Party Worker
Mr. Rahul Tiwari has accused Local MLA of unlawful conduct.,Mr. Rahul Tiwari,Local MLA
Complaint filed by Smt. Sunita Gupta against State Education Minister for abuse of power.,Smt. Sunita Gupta,State Education Minister
Complaint filed by Smt. Rekha Singh against Government Official for abuse of power.,Smt. Rekha Singh,Government Official
Press Club of India filed a report against Media House Owner citing threats and intimidation.,Press Club of India,Media House Owner
Ms. Priya Sharma lodged a complaint against Rajkot Collector with the authorities.,Ms. Priya Sharma,Rajkot Collector
Press Club of India lodged a complaint against Block Development Officer with the authorities.,Press Club of India,Block Development Officer
Suo-Motu cognizance with regard to Local MLA allegedly attacking Mr. Arvind Yadav.,Mr. Arvind Yadav,Local MLA
Suo-Motu cognizance in the case of Media House Owner allegedly threatening Shri Rajesh Jain.,Shri Rajesh Jain,Media House Owner
Mr. Arvind Yadav has accused Zonal Commissioner of unlawful conduct.,Mr. Arvind Yadav,Zonal Commissioner
Shri Aman Verma has accused Rajkot Collector of unlawful conduct.,Shri Aman Verma,Rajkot Collector
National Human Rights Commission filed a report against Block Development Officer citing threats and intimidation.,National Human Rights Commission,Block Development Officer
A complaint has been registered by Media Council of India against Block Development Officer for misconduct.,Media Council of India,Block Development Officer
"According to Editor of The Daily News, Inspector General obstructed journalistic activities.",Editor of The Daily News,Inspector General
Complaint filed by Shri Aman Verma against Local MLA for abuse of power.,Shri Aman Verma,Local MLA
Smt. Rekha Singh filed a report against Ranchi SP citing threats and intimidation.,Smt. Rekha Singh,Ranchi SP
"According to Editor of The Daily News, State Education Minister obstructed journalistic activities.",Editor of The Daily News,State Education Minister
Suo-Motu cognizance with regard to an incident involving District Magistrate and Smt. Sunita Gupta.,Smt. Sunita Gupta,District Magistrate
A complaint has been registered by Ms. Priya Sharma against Government Official for misconduct.,Ms. Priya Sharma,Government Official
Complaint submitted by National Human Rights Commission alleging harassment by Police Constable.,National Human Rights Commission,Police Constable
Shri Rajesh Jain has accused Delhi Police of unlawful conduct.,Shri Rajesh Jain,Delhi Police
Media Council of India has accused Delhi Police of unlawful conduct.,Media Council of India,Delhi Police
Advocate Rakesh Kumar lodged a complaint against Local MLA with the authorities.,Advocate Rakesh Kumar,Local MLA
Complaint filed by National Human Rights Commission against Traffic Police Officer for abuse of power.,National Human Rights Commission,Traffic Police Officer
Journalists Association of Delhi raised concerns regarding behaviour of District Magistrate.,Journalists Association of Delhi,District Magistrate
Suo-Motu cognizance with regard to Government Official allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,Government Official
Press Club of India filed a report against Zonal Commissioner citing threats and intimidation.,Press Club of India,Zonal Commissioner
"According to Press Club of India, Traffic Police Officer obstructed journalistic activities.",Press Club of India,Traffic Police Officer
Press Club of India filed a report against Tehsildar citing threats and intimidation.,Press Club of India,Tehsildar
Editor of The Daily News lodged a complaint against Local MLA with the authorities.,Editor of The Daily News,Local MLA
Shri Aman Verma raised concerns regarding behaviour of District Magistrate.,Shri Aman Verma,District Magistrate
Suo-Motu cognizance with regard to Block Development Officer allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Block Development Officer
Smt. Rekha Singh filed a report against Zonal Commissioner citing threats and intimidation.,Smt. Rekha Singh,Zonal Commissioner
Suo-Motu cognizance with regard to Local MLA allegedly bribing Shri Aman Verma for media coverage.,Shri Aman Verma,Local MLA
Mr. Arvind Yadav has accused Political Party Worker of unlawful conduct.,Mr. Arvind Yadav,Political Party Worker
Formal complaint by Media Council of India accusing Rajkot Collector of corruption.,Media Council of India,Rajkot Collector
Complaint filed by Smt. Rekha Singh against Police Constable for abuse of power.,Smt. Rekha Singh,Police Constable
Suo-Motu cognizance of unlawful detention of Editor of The Daily News by Media House Owner.,Editor of The Daily News,Media House Owner
Formal complaint by Shri Aman Verma accusing Government Official of corruption.,Shri Aman Verma,Government Official
A complaint has been registered by Mr. Arvind Yadav against Traffic Police Officer for misconduct.,Mr. Arvind Yadav,Traffic Police Officer
Advocate Rakesh Kumar filed a report against Political Party Worker citing threats and intimidation.,Advocate Rakesh Kumar,Political Party Worker
"According to Mr. Arvind Yadav, District Magistrate obstructed journalistic activities.",Mr. Arvind Yadav,District Magistrate
Mr. Rahul Tiwari has accused Traffic Police Officer of unlawful conduct.,Mr. Rahul Tiwari,Traffic Police Officer
Advocate Rakesh Kumar raised concerns regarding behaviour of Tehsildar.,Advocate Rakesh Kumar,Tehsildar
Mr. Arvind Yadav lodged a complaint against Tehsildar with the authorities.,Mr. Arvind Yadav,Tehsildar
Suo-Motu cognizance with regard to Ranchi SP allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Ranchi SP
Press Club of India lodged a complaint against Media House Owner with the authorities.,Press Club of India,Media House Owner
Complaint filed by Shri Aman Verma against Media House Owner for abuse of power.,Shri Aman Verma,Media House Owner
A complaint has been registered by Mr. Arvind Yadav against State Education Minister for misconduct.,Mr. Arvind Yadav,State Education Minister
Advocate Rakesh Kumar raised concerns regarding behaviour of State Education Minister.,Advocate Rakesh Kumar,State Education Minister
Complaint filed by Shri Rajesh Jain against Government Official for abuse of power.,Shri Rajesh Jain,Government Official
"According to Editor of The Daily News, Political Party Worker obstructed journalistic activities.",Editor of The Daily News,Political Party Worker
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Tehsildar.,Mr. Rahul Tiwari,Tehsildar
A complaint has been registered by Advocate Rakesh Kumar against Government Official for misconduct.,Advocate Rakesh Kumar,Government Official
Complaint submitted by Media Council of India alleging harassment by Local MLA.,Media Council of India,Local MLA
Advocate Rakesh Kumar has accused Rajkot Collector of unlawful conduct.,Advocate Rakesh Kumar,Rajkot Collector
Complaint filed by Shri Aman Verma against District Magistrate for abuse of power.,Shri Aman Verma,District Magistrate
Formal complaint by Press Club of India accusing Local MLA of corruption.,Press Club of India,Local MLA
Complaint filed by Advocate Rakesh Kumar against Block Development Officer for abuse of power.,Advocate Rakesh Kumar,Block Development Officer
Journalists Association of Delhi filed a report against Rajkot Collector citing threats and intimidation.,Journalists Association of Delhi,Rajkot Collector
Suo-Motu cognizance with regard to Traffic Police Officer allegedly harassing Smt. Rekha Singh during coverage of an event.,Smt. Rekha Singh,Traffic Police Officer
Suo-Motu cognizance regarding misconduct by State Education Minister involving Smt. Rekha Singh.,Smt. Rekha Singh,State Education Minister
Ms. Priya Sharma raised concerns regarding behaviour of Block Development Officer.,Ms. Priya Sharma,Block Development Officer
Shri Aman Verma raised concerns regarding behaviour of Ranchi SP.,Shri Aman Verma,Ranchi SP
Suo-Motu cognizance of unlawful detention of Shri Rajesh Jain by Ranchi SP.,Shri Rajesh Jain,Ranchi SP
Formal complaint by Ms. Neha Dubey accusing Media House Owner of corruption.,Ms. Neha Dubey,Media House Owner
Formal complaint by Journalists Association of Delhi accusing Block Development Officer of corruption.,Journalists Association of Delhi,Block Development Officer
Smt. Rekha Singh filed a report against Local MLA citing threats and intimidation.,Smt. Rekha Singh,Local MLA
Smt. Rekha Singh raised concerns regarding behaviour of Block Development Officer.,Smt. Rekha Singh,Block Development Officer
Complaint filed by National Human Rights Commission against Rajkot Collector for abuse of power.,National Human Rights Commission,Rajkot Collector
Suo-Motu cognizance of unlawful detention of Journalists Association of Delhi by Delhi Police.,Journalists Association of Delhi,Delhi Police
A complaint has been registered by National Human Rights Commission against Ranchi SP for misconduct.,National Human Rights Commission,Ranchi SP
Complaint submitted by Smt. Rekha Singh alleging harassment by Delhi Police.,Smt. Rekha Singh,Delhi Police
Media Council of India has accused Zonal Commissioner of unlawful conduct.,Media Council of India,Zonal Commissioner
Suo-Motu cognizance of unlawful detention of Media Council of India by Political Party Worker.,Media Council of India,Political Party Worker
Complaint filed by Mr. Rahul Tiwari against Delhi Police for abuse of power.,Mr. Rahul Tiwari,Delhi Police
Editor of The Daily News lodged a complaint against Tehsildar with the authorities.,Editor of The Daily News,Tehsildar
Editor of The Daily News filed a report against Delhi Police citing threats and intimidation.,Editor of The Daily News,Delhi Police
Formal complaint by Shri Aman Verma accusing Police Constable of corruption.,Shri Aman Verma,Police Constable
A complaint has been registered by Journalists Association of Delhi against State Education Minister for misconduct.,Journalists Association of Delhi,State Education Minister
Suo-Motu cognizance with regard to Media House Owner allegedly attacking Media Council of India.,Media Council of India,Media House Owner
Suo-Motu cognizance with regard to Traffic Police Officer allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Traffic Police Officer
Suo-Motu cognizance with regard to Block Development Officer allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,Block Development Officer
"According to Smt. Sunita Gupta, Delhi Police obstructed journalistic activities.",Smt. Sunita Gupta,Delhi Police
Suo-Motu cognizance with regard to Government Official allegedly harassing Media Council of India during coverage of an event.,Media Council of India,Government Official
Mr. Arvind Yadav has accused Government Official of unlawful conduct.,Mr. Arvind Yadav,Government Official
Shri Rajesh Jain filed a report against Ranchi SP citing threats and intimidation.,Shri Rajesh Jain,Ranchi SP
A complaint has been registered by Mr. Rahul Tiwari against State Education Minister for misconduct.,Mr. Rahul Tiwari,State Education Minister
Complaint submitted by Smt. Rekha Singh alleging harassment by Police Constable.,Smt. Rekha Singh,Police Constable
National Human Rights Commission lodged a complaint against Delhi Police with the authorities.,National Human Rights Commission,Delhi Police
Complaint filed by Ms. Priya Sharma against Government Official for abuse of power.,Ms. Priya Sharma,Government Official
Complaint submitted by Smt. Sunita Gupta alleging harassment by Media House Owner.,Smt. Sunita Gupta,Media House Owner
Suo-Motu cognizance of unlawful detention of Ms. Priya Sharma by Traffic Police Officer.,Ms. Priya Sharma,Traffic Police Officer
Complaint filed by National Human Rights Commission against District Magistrate for abuse of power.,National Human Rights Commission,District Magistrate
Complaint submitted by Shri Rajesh Jain alleging harassment by Inspector General.,Shri Rajesh Jain,Inspector General
Mr. Arvind Yadav has accused Zonal Commissioner of unlawful conduct.,Mr. Arvind Yadav,Zonal Commissioner
National Human Rights Commission has accused Zonal Commissioner of unlawful conduct.,National Human Rights Commission,Zonal Commissioner
Editor of The Daily News filed a report against State Education Minister citing threats and intimidation.,Editor of The Daily News,State Education Minister
Editor of The Daily News filed a report against Block Development Officer citing threats and intimidation.,Editor of The Daily News,Block Development Officer
Mr. Rahul Tiwari raised concerns regarding behaviour of Police Constable.,Mr. Rahul Tiwari,Police Constable
A complaint has been registered by Ms. Priya Sharma against Zonal Commissioner for misconduct.,Ms. Priya Sharma,Zonal Commissioner
Ms. Priya Sharma filed a report against Rajkot Collector citing threats and intimidation.,Ms. Priya Sharma,Rajkot Collector
Suo-Motu cognizance with regard to Inspector General allegedly attacking Media Council of India.,Media Council of India,Inspector General
Journalists Association of Delhi raised concerns regarding behaviour of Delhi Police.,Journalists Association of Delhi,Delhi Police
Suo-Motu cognizance of unlawful detention of Smt. Rekha Singh by Rajkot Collector.,Smt. Rekha Singh,Rajkot Collector
Suo-Motu cognizance with regard to Ranchi SP allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,Ranchi SP
Complaint submitted by Ms. Neha Dubey alleging harassment by State Education Minister.,Ms. Neha Dubey,State Education Minister
"According to Journalists Association of Delhi, Local MLA obstructed journalistic activities.",Journalists Association of Delhi,Local MLA
Complaint filed by Ms. Neha Dubey against Inspector General for abuse of power.,Ms. Neha Dubey,Inspector General
Advocate Rakesh Kumar raised concerns regarding behaviour of Police Constable.,Advocate Rakesh Kumar,Police Constable
Mr. Rahul Tiwari has accused Police Constable of unlawful conduct.,Mr. Rahul Tiwari,Police Constable
"According to Smt. Sunita Gupta, Zonal Commissioner obstructed journalistic activities.",Smt. Sunita Gupta,Zonal Commissioner
Suo-Motu cognizance with regard to State Education Minister allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,State Education Minister
Ms. Priya Sharma lodged a complaint against Media House Owner with the authorities.,Ms. Priya Sharma,Media House Owner
A complaint has been registered by Ms. Neha Dubey against Block Development Officer for misconduct.,Ms. Neha Dubey,Block Development Officer
Press Club of India filed a report against Tehsildar citing threats and intimidation.,Press Club of India,Tehsildar
Complaint filed by Shri Aman Verma against Police Constable for abuse of power.,Shri Aman Verma,Police Constable
Complaint filed by Smt. Sunita Gupta against State Education Minister for abuse of power.,Smt. Sunita Gupta,State Education Minister
Complaint filed by Advocate Rakesh Kumar against Police Constable for abuse of power.,Advocate Rakesh Kumar,Police Constable
Complaint submitted by Shri Rajesh Jain alleging harassment by District Magistrate.,Shri Rajesh Jain,District Magistrate
National Human Rights Commission has accused Tehsildar of unlawful conduct.,National Human Rights Commission,Tehsildar
Formal complaint by Mr. Arvind Yadav accusing Block Development Officer of corruption.,Mr. Arvind Yadav,Block Development Officer
Suo-Motu cognizance of unlawful detention of Journalists Association of Delhi by Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
